Pathways,Reactions,Reaction Names,Formula,grRules,
Glycolysis / Gluconeogenesis,MAR04370,3-Phospho-D-glyceroyl phosphate phosphohydrolase,MAM01371c + MAM01597c + MAM02646e  -> MAM01334c + MAM02647c + MAM02759c ,ENSG00000119640 or ENSG00000170634,
Glycolysis / Gluconeogenesis,MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",MAM00069m + MAM02040m  -> MAM00804m ,ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,
Glycolysis / Gluconeogenesis,MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase",MAM00804m + MAM02552m  -> MAM00909m + MAM02039m + MAM02553m ,ENSG00000172331,
Glycolysis / Gluconeogenesis,MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",MAM01802m + MAM03050m  -> MAM00069m + MAM01803m ,ENSG00000130957 or ENSG00000165140,
Glycolysis / Gluconeogenesis,MAR04394,ATP:D-glucose 6-phosphotransferase,MAM00909m + MAM01597m  -> MAM01261m + MAM03116m ,ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,
Glycolysis / Gluconeogenesis,MAR04396,"alpha-D-glucose 1,6-phosphomutase",MAM01821c  -> MAM01821e ,ENSG00000079739 or ENSG00000154330 or ENSG00000169299,
Glycolysis / Gluconeogenesis,MAR04521,D-Glucose-6-phosphate phosphohydrolase,MAM01623c + MAM02039c + MAM02730c  -> MAM01427c + MAM02759c ,ENSG00000131482 or ENSG00000141349 or ENSG00000152254,
Starch and sucrose metabolism,MAR03989,maltose glucohydrolase,MAM02440c + MAM02949m  <=> MAM02440m + MAM02949c ,ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,
Starch and sucrose metabolism,MAR04122,UDP-glucose:NAD+ 6-oxidoreductase,MAM02440c + MAM02946m  <=> MAM02440m + MAM02946c ,ENSG00000109814,
Starch and sucrose metabolism,MAR04837,"alpha,alpha-trehalose glucohydrolase",MAM01862c + MAM02946m  <=> MAM01862m + MAM02946c ,ENSG00000118094 or ENSG00000142102,
Starch and sucrose metabolism,MAR05395,UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase,MAM01862c + MAM02949m  <=> MAM01862m + MAM02949c ,ENSG00000056998 or ENSG00000163754,
Starch and sucrose metabolism,MAR05396,,MAM01044m + MAM02553m  <=> MAM01045m + MAM02552m ,ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754,
Starch and sucrose metabolism,MAR05397,,MAM01044m + MAM02555m  <=> MAM01045m + MAM02554m ,ENSG00000114480,
Starch and sucrose metabolism,MAR05398,,MAM02040m + MAM02552m + MAM02719m  -> 2 MAM02039m + MAM02553m + MAM02720m ,ENSG00000068976 or ENSG00000100504 or ENSG00000100994,
Starch and sucrose metabolism,MAR05399,,2 MAM02039m + MAM02555m + MAM02720m  <=> MAM02040m + MAM02554m + MAM02719m ,ENSG00000162688,
Starch and sucrose metabolism,MAR05400,,MAM01643m + MAM01680c  <=> MAM01643c + MAM01680m ,ENSG00000162688,
Starch and sucrose metabolism,MAR05401,,MAM02040m + MAM02552m + MAM00726m  <=> 2 MAM02039m + MAM02553m + MAM00727m ,ENSG00000068976 or ENSG00000100504 or ENSG00000100994,
Starch and sucrose metabolism,MAR08568,,MAM02040m + MAM02554m + MAM00726m  -> 2 MAM02039m + MAM02555m + MAM00727m ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08569,,MAM01961c + MAM02039c + MAM02555c  <=> MAM01968c + MAM02554c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08570,,MAM02040m + MAM02552m + MAM00820m  <=> 2 MAM02039m + MAM02553m + MAM03136m ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08571,,MAM02040m + MAM02554m + MAM00820m  -> 2 MAM02039m + MAM02555m + MAM03136m ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08572,,MAM02039m + MAM02555m + MAM02662m  <=> MAM02183m + MAM02554m ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08573,,MAM01862c + MAM02991m  <=> MAM01862m + MAM02991c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08574,,MAM02439c + MAM02991m  <=> MAM02439m + MAM02991c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08575,,MAM02439c + MAM02946m  <=> MAM02439m + MAM02946c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08576,,MAM01643c + MAM01754m  <=> MAM01643m + MAM01754c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08577,,MAM01643c + MAM01747m  <=> MAM01643m + MAM01747c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08578,,MAM01637c + MAM01747m  <=> MAM01637m + MAM01747c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08579,,MAM01747c + MAM01754m  <=> MAM01747m + MAM01754c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08581,,MAM02943c + MAM02946m  <=> MAM02943m + MAM02946c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08591,,MAM01637c + MAM01754m  <=> MAM01637m + MAM01754c ,ENSG00000214013 or ENSG00000257335,
Starch and sucrose metabolism,MAR08580,,MAM02039m + MAM02553m + MAM02662m  <=> MAM02183m + MAM02552m ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08582,,MAM01680c + MAM01747m  <=> MAM01680m + MAM01747c ,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,
Starch and sucrose metabolism,MAR08587,maltose glucohydrolase,MAM02130c + MAM02554c  -> MAM00905c + MAM02039c + MAM02555c ,ENSG00000214013 or ENSG00000257335,
Starch and sucrose metabolism,MAR08584,,MAM01371m + MAM01752m  -> MAM01285m + MAM01747m ,ENSG00000090402,
Galactose metabolism,MAR03944,UTP:alpha-D-glucose-1-phosphate uridylyltransferase,MAM01285m + MAM01753m  <=> MAM01371m + MAM01747m ,ENSG00000169764,
Galactose metabolism,MAR04128,UDP-glucose 4-epimerase,MAM01637m + MAM01747m  <=> MAM01642m + MAM01752m ,ENSG00000117308,
Galactose metabolism,MAR04130,,MAM01968c + MAM02751r  -> MAM01968r + MAM02751c ,ENSG00000108479 or ENSG00000156958,
Galactose metabolism,MAR04131,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,MAM01968c  <=> MAM01968r ,ENSG00000213930,
Galactose metabolism,MAR04132,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,MAM01637m + MAM01753m  <=> MAM01642m + MAM01747m ,ENSG00000213930,
Galactose metabolism,MAR04303,sucrose glucohydrolase,MAM02751r  <=> MAM02751c ,ENSG00000090402 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,
Galactose metabolism,MAR04414,ATP:alpha-D-galactose 1-phosphotransferase,MAM01680c + MAM01754m  <=> MAM01680m + MAM01754c ,ENSG00000108479 or ENSG00000156958 or ENSG00000166262,
Galactose metabolism,MAR04416,Galactosylglycerol galactohydrolase,MAM02040m + MAM02552m + MAM00818m  <=> 2 MAM02039m + MAM02553m + MAM02137m ,ENSG00000102393 or ENSG00000170266 or ENSG00000241343,
Galactose metabolism,MAR04774,CTP:D-tagatose 6-phosphate 1-phosphotransferase,MAM02040m + MAM02554m + MAM00818m  -> 2 MAM02039m + MAM02555m + MAM02137m ,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,
Galactose metabolism,MAR04775,ITP:D-tagatose 6-phosphate 1-phosphotransferase,MAM01637m + MAM01643c  <=> MAM01637c + MAM01643m ,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,
Galactose metabolism,MAR08761,ATP:D-tagatose 6-phosphotransferase,MAM01424c + MAM02039c + MAM02955c  <=> MAM01623c + MAM01746c ,ENSG00000138030,
Galactose metabolism,MAR08762,,MAM01746c + MAM02193c  <=> MAM02039c + MAM02161c + MAM02955c ,ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,
Galactose metabolism,MAR08767,UTP:alpha-D-galactose-1-phosphate uridylyltransferase,MAM01637m + MAM01680c  <=> MAM01637c + MAM01680m ,ENSG00000213930,
Fructose and mannose metabolism,MAR04297,,MAM01285c + MAM02039c + MAM02883c  <=> MAM01371c + MAM02884c ,ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525,
Fructose and mannose metabolism,MAR04315,D-Glucitol:NAD+ 2-oxidoreductase,MAM01427c + MAM02759c  <=> MAM01623c + MAM02039c + MAM02730c ,ENSG00000140263,
Fructose and mannose metabolism,MAR04316,D-Glucitol:NADP+ 1-oxidoreductase,MAM01862c + MAM02943m  <=> MAM01862m + MAM02943c ,ENSG00000085662 or ENSG00000198074,
Fructose and mannose metabolism,MAR04319,ATP:D-fructose 6-phosphotransferase,MAM01862c + MAM02439m  <=> MAM01862m + MAM02439c ,ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,
Fructose and mannose metabolism,MAR04383,D-mannose-6-phosphate aldose-ketose-isomerase,MAM01637n + MAM01753n  <=> MAM01642n + MAM01747n ,ENSG00000178802,
Fructose and mannose metabolism,MAR04490,ATP:D-mannose 6-phosphotransferase,MAM01285n + MAM01753n  <=> MAM01371n + MAM01747n ,ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,
Fructose and mannose metabolism,MAR04706,"beta-D-fructose-2,6-bisphosphate 2-phosphohydrolase",MAM01700c + MAM02039c + MAM02555c  <=> MAM02554c + MAM02980c ,ENSG00000078237 or ENSG00000108813 or ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525,
Pentose and glucuronate interconversions,MAR04590,Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming),MAM02039c + MAM02883c + MAM03106c  <=> MAM02884c + MAM03130c ,ENSG00000169738,
Pentose and glucuronate interconversions,MAR04591,xylitol:NAD oxidoreductase,MAM01700c + MAM02039c + MAM02553c  <=> MAM02552c + MAM02980c ,ENSG00000115425 or ENSG00000116353,
Pentose and glucuronate interconversions,MAR04592,xylitol:NADP+ oxidoreductase,MAM01830c + MAM02555c  <=> MAM01700c + MAM02554c ,ENSG00000085662 or ENSG00000198074,
Pentose and glucuronate interconversions,MAR04593,xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming),MAM01830c + MAM02553c  <=> MAM01700c + MAM02552c ,ENSG00000140263,
Pentose and glucuronate interconversions,MAR04595,ATP:D-xylulose 5-phosphotransferase,MAM01044c + MAM02553c  <=> MAM01045c + MAM02552c ,ENSG00000093217,
Pentose and glucuronate interconversions,MAR08726,ATP:D-ribulose 5-phosphotransferase,MAM01044c + MAM02555c  <=> MAM01045c + MAM02554c ,ENSG00000171174,
Pentose and glucuronate interconversions,MAR08729,UDP-glucuronate glucuronohydrolase,MAM02439c + MAM02949m  <=> MAM02439m + MAM02949c ,ENSG00000115652,
Pyruvate metabolism,MAR01568,Acetaldehyde:NAD+ oxidoreductase,MAM02040c + MAM02552c + MAM02719c  -> 2 MAM02039c + MAM02553c + MAM02720c ,ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,
Pyruvate metabolism,MAR03853,(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing),2 MAM02039c + MAM02555c + MAM02720c  <=> MAM02040c + MAM02554c + MAM02719c ,ENSG00000124767 or ENSG00000167699,
Pyruvate metabolism,MAR03854,Lactaldehyde:NAD+ 1-oxidoreductase,MAM01986c + MAM02360e  -> MAM01986e + MAM02360c ,ENSG00000085662 or ENSG00000198074,
Pyruvate metabolism,MAR03855,"Propane-1,2-diol:NADP+ 1-oxidoreductase",MAM02896c + MAM02993e  -> MAM02896e + MAM02993c ,ENSG00000085662 or ENSG00000198074,
Pyruvate metabolism,MAR03857,(R)-S-Lactoylglutathione hydrolase,MAM01986c + MAM02184e  -> MAM01986e + MAM02184c ,ENSG00000063854 or ENSG00000103253,
Pyruvate metabolism,MAR03859,(R)-Lactate:ferricytochrome-c 2-oxidoreductase,MAM01803m + MAM03573m  -> MAM01802m + MAM03574m ,ENSG00000166816 or ENSG00000182224,
Pyruvate metabolism,MAR04087,(S)-malate:NAD+ oxidoreductase (decarboxylating),MAM03103m + MAM03574m  -> MAM03102m + MAM03573m ,ENSG00000082212 or ENSG00000151376,
Pyruvate metabolism,MAR04089,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),MAM02471c + MAM02724e  -> MAM02471e + MAM02724c ,ENSG00000013392 or ENSG00000065833,
Pyruvate metabolism,MAR04091,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),MAM01986c + MAM02471e  -> MAM01986e + MAM02471c ,ENSG00000082212 or ENSG00000151376,
Pyruvate metabolism,MAR04101,GTP:oxaloacetate carboxy-lyase (adding GTP,MAM02471c + MAM02770e  -> MAM02471e + MAM02770c ,ENSG00000124253,
Pyruvate metabolism,MAR04103,GTP:oxaloacetate carboxy-lyase (adding GTP,MAM02896c + MAM03135e  -> MAM02896e + MAM03135c ,ENSG00000100889,
Pyruvate metabolism,MAR04143,Pyruvate:carbon-dioxide ligase (ADP-forming),MAM01307c + MAM01628e  -> MAM01307e + MAM01628c ,ENSG00000173599,
Pyruvate metabolism,MAR04193,CTP:pyruvate 2-O-phosphotransferase,MAM02471c + MAM03101e  -> MAM02471e + MAM03101c ,ENSG00000067225 or ENSG00000143627,
Pyruvate metabolism,MAR08497,,MAM02471c + MAM02993e  -> MAM02471e + MAM02993c ,ENSG00000053371 or ENSG00000085662 or ENSG00000117448,
Pyruvate metabolism,MAR08500,,MAM02943c + MAM02949m  <=> MAM02943m + MAM02949c ,ENSG00000053371 or ENSG00000085662 or ENSG00000117448,
Pyruvate metabolism,MAR08501,,MAM03089c + MAM03101e  -> MAM03089e + MAM03101c ,ENSG00000137106,
Pyruvate metabolism,MAR08502,(R)-Lactaldehyde:NAD+ oxidoreductase (glutathione-formylating),MAM02896c + MAM03101e  -> MAM02896e + MAM03101c ,ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,
Pyruvate metabolism,MAR08503,,MAM01307c + MAM01975e  -> MAM01307e + MAM01975c ,ENSG00000006534 or ENSG00000072210 or ENSG00000108602 or ENSG00000132746 or ENSG00000143149 or ENSG00000164904 or ENSG00000184254,
Pyruvate metabolism,MAR08504,(R)-Lactaldehyde:NAD+ 2-oxidoreductase,MAM03101c  -> MAM03101e ,ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,
Pyruvate metabolism,MAR08506,,MAM03135c  -> MAM03135e ,ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,
Pyruvate metabolism,MAR08507,,MAM01285c + MAM01642c  <=> MAM01371c + MAM01637c ,ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,
Pyruvate metabolism,MAR08508,,MAM01986c + MAM02724e  -> MAM01986e + MAM02724c ,ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,
Pyruvate metabolism,MAR08509,,MAM02471c  -> MAM02471e ,ENSG00000053371 or ENSG00000085662 or ENSG00000117448,
Pyruvate metabolism,MAR08511,(R)-S-Lactoylglutathione hydrolase,MAM01643m + MAM01688c  -> MAM01643c + MAM01688m ,ENSG00000063854 or ENSG00000103253,
Pyruvate metabolism,MAR08512,(R)-Lactate:NAD+ oxidoreductase,MAM01307c + MAM01369e  -> MAM01307e + MAM01369c ,ENSG00000166816,
Pyruvate metabolism,MAR08514,(S)-Lactate:ferricytochrome-c 2-oxidoreductase,MAM01975c + MAM01986e  -> MAM01975e + MAM01986c ,ENSG00000166816 or ENSG00000182224,
Pyruvate metabolism,MAR08516,glycerone-phosphate phosphate-lyase (methylglyoxal-forming),MAM01986c + MAM02993e  -> MAM01986e + MAM02993c ,ENSG00000148090,
Pyruvate metabolism,MAR04280,(S)-Lactate:NAD+ oxidoreductase,MAM01975c + MAM02136e  -> MAM01975e + MAM02136c ,ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,
Propanoate metabolism,MAR00153,Propanoate:CoA ligase (AMP-forming),MAM00258x + MAM01334x + MAM02759x  <=> MAM00257x + MAM01371x + MAM01597x ,ENSG00000111058 or ENSG00000131069 or ENSG00000154930,
Propanoate metabolism,MAR03212,,MAM00253x + MAM02039x + MAM02555x  -> MAM00257x + MAM02554x ,ENSG00000111271 or ENSG00000117054 or ENSG00000122971 or ENSG00000151498 or ENSG00000177646 or ENSG00000196177 or ENSG00000240303,
Propanoate metabolism,MAR03800,,MAM00252x + MAM02554x  <=> MAM00253x + MAM02039x + MAM02555x ,ENSG00000083123 and ENSG00000091140 and ENSG00000137992 and ENSG00000248098,
Propanoate metabolism,MAR04105,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),MAM00252x + MAM01371x + MAM01597x  <=> MAM00258x + MAM01334x + MAM02759x ,ENSG00000103150,
Propanoate metabolism,MAR04106,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),MAM00253m + MAM02039m + MAM02555m  -> MAM00257m + MAM02554m ,ENSG00000103150,
Propanoate metabolism,MAR04282,"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)",MAM00252m + MAM01371m + MAM01597m  <=> MAM00258m + MAM01334m + MAM02759m ,ENSG00000119711,
Propanoate metabolism,MAR04331,Propionyladenylate:CoA propionyltransferase,MAM00258m + MAM01334m + MAM02759m  <=> MAM00257m + MAM01371m + MAM01597m ,ENSG00000111058 or ENSG00000131069 or ENSG00000154930,
Propanoate metabolism,MAR04459,ATP:propanoate adenylyltransferase,MAM00252m + MAM02554m  <=> MAM00253m + MAM02039m + MAM02555m ,ENSG00000111058 or ENSG00000131069 or ENSG00000154930,
Propanoate metabolism,MAR04497,3-hydroxypropanoate:NAD+ oxidoreductase,MAM02554r + MAM02343r  <=> MAM02039r + MAM02555r + MAM01066r ,ENSG00000116133,
Propanoate metabolism,MAR04741,,MAM02039r + MAM02555r + MAM03158r  <=> MAM02554r + MAM01449r ,ENSG00000198130,
Butanoate metabolism,MAR01434,acetyl-CoA:acetyl-CoA C-acetyltransferase,MAM03158r  -> MAM01066r ,ENSG00000120437,
Butanoate metabolism,MAR01436,Acetoacetate:CoA ligase (AMP-forming),MAM01642c + MAM01643m  -> MAM01642m + MAM01643c ,ENSG00000081760,
Butanoate metabolism,MAR03163,"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",MAM02343r  <=> MAM01449r ,ENSG00000111271 or ENSG00000117054 or ENSG00000122971 or ENSG00000151498 or ENSG00000177646 or ENSG00000196177 or ENSG00000240303,
Butanoate metabolism,MAR04461,(R)-3-Hydroxybutanoate:NAD+ oxidoreductase,MAM01862m + MAM02040m  <=> MAM02439m ,ENSG00000161267 or ENSG00000164039,
Butanoate metabolism,MAR05351,2-hydroxybutyrate:NAD+ oxidoreductase,MAM02471c + MAM03135e  -> MAM02471e + MAM03135c ,ENSG00000111716 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,
Pentose phosphate pathway,MAR04052,ATP:D-ribose-5-phosphate diphosphotransferase,MAM01862c + MAM02040c  <=> MAM02439c ,ENSG00000101911 or ENSG00000147224 or ENSG00000229937,
Pentose phosphate pathway,MAR04304,D-glucose-6-phosphate:NADP+ 1-oxidoreductase,MAM01986c + MAM03089e  -> MAM01986e + MAM03089c ,ENSG00000160211,
Pentose phosphate pathway,MAR04306,D-glucose-6-phosphate:NADP+ 1-oxidoreductase,MAM01643m + MAM01753c  -> MAM01643c + MAM01753m ,ENSG00000160211,
Pentose phosphate pathway,MAR04352,D-ribose-5-phosphate aldose-ketose-isomerase,MAM01307c + MAM02360e  -> MAM01307e + MAM02360c ,ENSG00000153574,
Pentose phosphate pathway,MAR04354,"D-Ribose 1,5-phosphomutase",MAM01307c + MAM02136e  -> MAM01307e + MAM02136c ,ENSG00000079739 or ENSG00000169299,
Pentose phosphate pathway,MAR04398,2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming),MAM01975c + MAM02184e  -> MAM01975e + MAM02184c ,ENSG00000023697,
Pentose phosphate pathway,MAR04404,D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase,MAM01986c + MAM02770e  -> MAM01986e + MAM02770c ,ENSG00000007350 or ENSG00000151005 or ENSG00000163931,
Pentose phosphate pathway,MAR04474,Phosphogluconate dehydrogenase,MAM01986c + MAM02896e  -> MAM01986e + MAM02896c ,ENSG00000142657,
Pentose phosphate pathway,MAR04501,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase,MAM01643m + MAM01645c  -> MAM01643c + MAM01645m ,ENSG00000007350 or ENSG00000151005 or ENSG00000163931,
Pentose phosphate pathway,MAR04565,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase,MAM01628c + MAM02136e  -> MAM01628e + MAM02136c ,ENSG00000177156,
Pentose phosphate pathway,MAR04567,ATP:Sedoheptulose 7-phosphate 1-phosphotransferase,MAM02125c  -> MAM02125e ,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,
Pentose phosphate pathway,MAR04568,,MAM01637c + MAM01753c  <=> MAM01642c + MAM01747c ,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,
Pentose phosphate pathway,MAR04710,"2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase",MAM01285m + MAM01642m  -> MAM01371m + MAM01637m ,ENSG00000169299 or ENSG00000180953,
Pentose phosphate pathway,MAR08074,ATP:2-deoxy-D-ribose 5-phosphotransferase,2 MAM01285m  <=> MAM01334m + MAM01371m ,ENSG00000158019 or ENSG00000171174,
Pentose phosphate pathway,MAR08653,D-glucose-6-phosphate:NAD+ 1-oxidoreductase,MAM01628c + MAM02184e  -> MAM01628e + MAM02184c ,ENSG00000049239 or ENSG00000130313,
Purine metabolism,MAR03998,ADP phosphohydrolase,MAM01307c + MAM02184e  -> MAM01307e + MAM02184c ,ENSG00000054179 or ENSG00000138185 or ENSG00000168032 or ENSG00000171302 or ENSG00000187097 or ENSG00000188833 or ENSG00000197217 or ENSG00000197586,
Purine metabolism,MAR04000,ATP diphosphate-lyase (cyclizing,MAM01986c + MAM03101e  -> MAM01986e + MAM03101c ,(ENSG00000061918 and ENSG00000164116) or ENSG00000070019 or ENSG00000078295 or ENSG00000101890 or ENSG00000121281 or ENSG00000129467 or ENSG00000132518 or ENSG00000138031 or ENSG00000143199 or ENSG00000152402 or ENSG00000155897 or ENSG00000159899 or ENSG00000162104 or ENSG00000164742 or ENSG00000169418 or ENSG00000173175 or ENSG00000174233,
Purine metabolism,MAR04002,ATP:AMP phosphotransferase,MAM02993c + MAM03135e  -> MAM02993e + MAM03135c ,ENSG00000004455 or ENSG00000085231 or ENSG00000106992 or ENSG00000140057 or ENSG00000147853 or ENSG00000154027 or ENSG00000155085 or ENSG00000162433 or ENSG00000165695 or ENSG00000273841,
